"Country"	"Year"	"Prevalence_females"	"Prevalence_males"	"Prevalence_both"	"GDP"	"Education"	"Education_females"	"Education_males"	"Affordability"	"Cig_taxes"	"Campaigns"	"Help"	"Warn"	"Bans"	"Protect"	"Monitor"	"HDI_MHI"	"HDI_MHI_clustering"
"145"	"Italy"	"2007"	19.588	30.276	24.968	41358.117661	13.5	14.7	12.4	1.37	0.75	4	4	3	4	2	4	0.411654135338346	2
"146"	"Italy"	"2008"	19.588	29.976	24.808	40645.494095	14.3	15.7	13	1.37	0.75	4	4	3	4	2	4	0.411654135338346	2
"147"	"Italy"	"2010"	19.6	29.4	24.5	38760.496968	14.8	16.3	13.3	1.37	0.75	4	4	3	4	2	4	0.411654135338346	2
"148"	"Italy"	"2012"	19.612	28.824	24.208	37637.147388	15.8	17.5	14	1.85	0.75	3	4	3	4	2	4	0.411654135338346	2
"149"	"Italy"	"2014"	19.608	28.216	23.932	36863.232409	16.9	18.9	14.9	1.87	0.76	4	4	3	4	2	4	0.411654135338346	2
"150"	"Italy"	"2016"	19.5933333333333	27.5977777777778	23.6688888888889	37759.301812	17.7	20.1	15.3	1.86	0.76	5	4	5	4	2	4	0.411654135338346	2
"151"	"Italy"	"2018"	19.6	27.1	23.4	38898.485629	19.3	22.1	16.5	1.88	0.76	5	4	5	4	2	4	0.411654135338346	2
"152"	"Italy"	"2020"	19.5	26.6	23.1	35839.163517	20.1	23	17.2	2.2	0.77	2	4	5	4	2	4	0.411654135338346	2
"153"	"Japan"	"2007"	12.708	43.04	27.924	39769.868517	NA	NA	NA	0.77	0.63	2	4	3	2	2	4	0.584586466165414	3
"154"	"Japan"	"2008"	12.468	41.84	27.204	39263.029018	NA	NA	NA	0.77	0.63	2	4	3	2	2	4	0.584586466165414	3
"155"	"Japan"	"2010"	12	39.5	25.8	38545.658464	NA	NA	NA	0.77	0.63	2	4	3	2	2	4	0.584586466165414	3
"156"	"Japan"	"2012"	11.548	37.32	24.476	39235.322697	NA	NA	NA	1.06	0.64	2	4	3	2	2	4	0.584586466165414	3
"157"	"Japan"	"2014"	11.112	35.38	23.264	40232.048565	NA	NA	NA	1.06	0.64	2	4	3	2	2	4	0.584586466165414	3
"158"	"Japan"	"2016"	10.6933333333333	33.6333333333333	22.1555555555556	41274.637598	NA	NA	NA	1.04	0.63	2	4	3	2	2	4	0.584586466165414	3
"159"	"Japan"	"2018"	10.3	31.8	21.1	42399.807142	NA	NA	NA	1.02	0.63	3	4	3	2	3	4	0.584586466165414	3
